,NIG,name,Monitor,Timestamp
430.0,0.000296,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_192.tif,12521.0,
431.0,0.000296,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_193.tif,12620.0,
432.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_194.tif,12416.0,
438.0,0.000293,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_195.tif,12911.0,
439.0,0.000292,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_196.tif,12902.0,
440.0,0.000292,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_197.tif,12908.0,
441.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_198.tif,12381.0,
447.0,0.000294,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_199.tif,12449.0,
448.0,0.000292,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_200.tif,12488.0,
449.0,0.000292,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_201.tif,13199.0,
450.0,0.000319,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_202.tif,12306.0,
455.0,0.000322,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_203.tif,13048.0,
456.0,0.000325,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_204.tif,12385.0,
457.0,0.000325,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_205.tif,12713.0,
458.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_206.tif,12410.0,
464.0,0.000348,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_207.tif,12724.0,
465.0,0.00035,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_208.tif,12909.0,
466.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_209.tif,11833.0,
472.0,0.000358,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_210.tif,13177.0,
473.0,0.000358,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_211.tif,12954.0,
474.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_212.tif,12268.0,
480.0,0.000362,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_213.tif,12955.0,
481.0,0.000362,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_214.tif,13156.0,
482.0,0.000362,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_215.tif,12848.0,
483.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_216.tif,12817.0,
489.0,0.000367,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_217.tif,13033.0,
490.0,0.000367,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_218.tif,12355.0,
491.0,0.000367,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_219.tif,12072.0,
492.0,0.000367,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_220.tif,12820.0,
494.0,0.000368,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_221.tif,12277.0,
495.0,0.000369,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_222.tif,11966.0,
496.0,0.000363,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_223.tif,12445.0,
496.0,0.000349,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_224.tif,12805.0,
497.0,0.000341,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_225.tif,12757.0,
498.0,0.000333,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_226.tif,12981.0,
499.0,0.000329,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_227.tif,13054.0,
500.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_228.tif,12803.0,
506.0,0.00031,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_229.tif,12022.0,
507.0,0.000308,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_230.tif,12195.0,
508.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_231.tif,11513.0,
515.0,0.0003,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_232.tif,12841.0,
515.0,0.000299,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_233.tif,12297.0,
516.0,0.000298,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_234.tif,12959.0,
517.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_235.tif,12600.0,
523.0,0.000292,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_236.tif,11965.0,
524.0,0.000292,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_237.tif,13025.0,
525.0,0.000294,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_238.tif,13101.0,
526.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_239.tif,12932.0,
532.0,0.000292,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_240.tif,12859.0,
533.0,0.000292,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_241.tif,12137.0,
534.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_242.tif,12286.0,
541.0,0.000292,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_243.tif,12353.0,
542.0,0.000292,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_244.tif,12238.0,
542.0,0.000292,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_245.tif,12815.0,
543.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_246.tif,13095.0,
550.0,0.000294,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_247.tif,12583.0,
551.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_248.tif,12168.0,
557.0,0.00032,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_249.tif,12146.0,
558.0,0.000325,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_250.tif,11902.0,
559.0,0.000327,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_251.tif,12735.0,
560.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_252.tif,12294.0,
566.0,0.000344,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_253.tif,12781.0,
567.0,0.000346,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_254.tif,12502.0,
568.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_255.tif,12711.0,
574.0,0.000352,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_256.tif,12750.0,
575.0,0.000354,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_257.tif,12595.0,
576.0,0.000355,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_258.tif,13037.0,
577.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_259.tif,13117.0,
583.0,0.000359,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_260.tif,12317.0,
584.0,0.00036,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_261.tif,12885.0,
585.0,0.000361,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_262.tif,12133.0,
586.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_263.tif,12978.0,
592.0,0.000365,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_264.tif,13286.0,
593.0,0.000365,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_265.tif,12794.0,
594.0,0.000363,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_266.tif,13200.0,
595.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_267.tif,12643.0,
601.0,0.000367,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_268.tif,12598.0,
602.0,0.000367,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_269.tif,12519.0,
603.0,0.000369,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_270.tif,12748.0,
604.0,0.000369,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_271.tif,12338.0,
607.0,0.000369,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_272.tif,12675.0,
608.0,0.00037,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_273.tif,12647.0,
609.0,0.000354,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_274.tif,12437.0,
610.0,0.000354,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_275.tif,12817.0,
611.0,0.000343,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_276.tif,12578.0,
612.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_277.tif,11479.0,
618.0,0.000313,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_278.tif,11926.0,
